model,valence,field,d_mean_ai_minus_field,d_prompt_ci_lo,d_prompt_ci_hi
google/gemma-3-27b-it,positive,Physics,8.92757462958966,7.243284815970533,10.611864443208788
google/gemma-3-27b-it,positive,Statistics,8.563952098840023,6.976421343604608,10.151482854075438
google/gemma-3-27b-it,positive,AVERAGE_ALL,6.144896533580448,5.052574194728455,7.237218872432442
google/gemma-3-27b-it,negative,Archaeology,12.73491132550674,11.42981930288179,14.040003348131691
google/gemma-3-27b-it,negative,Biology,9.640081687059768,7.1140874319747045,12.16607594214483
google/gemma-3-27b-it,negative,Chemistry,9.033373614342214,6.660275180068386,11.406472048616042
google/gemma-3-27b-it,negative,Civil_Engineering,4.947944065361314,4.108990658740687,5.786897471981941
google/gemma-3-27b-it,negative,Computer_Science,2.9195670568366205,2.144372797379367,3.694761316293874
google/gemma-3-27b-it,negative,Earth_Science,2.8317716490306255,1.7499563319522227,3.9135869661090283
google/gemma-3-27b-it,negative,Economics,9.568948519152405,7.059139079023824,12.078757959280987
google/gemma-3-27b-it,negative,Electrical_Engineering,1.2357587319036007,0.5484390897434286,1.923078374063773
google/gemma-3-27b-it,negative,Literature,10.311438185307546,7.730416011854135,12.892460358760957
google/gemma-3-27b-it,negative,Mathematics,9.185356098115578,6.818484056361033,11.552228139870124
google/gemma-3-27b-it,negative,Mechanical_Engineering,2.2493528099988693,1.4711133938109207,3.027592226186818
google/gemma-3-27b-it,negative,Physics,10.168185853594508,7.534172349303617,12.8021993578854
google/gemma-3-27b-it,negative,Statistics,9.770730017994307,7.354292296339936,12.187167739648679
google/gemma-3-27b-it,negative,AVERAGE_ALL,7.12753365329246,5.612445849682308,8.642621456902612
meta-llama/Llama-3.1-70B-Instruct,positive,Archaeology,62.14511081748411,52.704887578044506,71.58533405692371
meta-llama/Llama-3.1-70B-Instruct,positive,Biology,86.5897421929071,72.26963821505582,100.90984617075837
meta-llama/Llama-3.1-70B-Instruct,positive,Chemistry,43.94042474875229,36.147176724495246,51.73367277300934
meta-llama/Llama-3.1-70B-Instruct,positive,Civil_Engineering,-11.548889337996332,-13.840408993656482,-9.257369682336183
meta-llama/Llama-3.1-70B-Instruct,positive,Computer_Science,-9.918627030718897,-12.629265626024864,-7.207988435412928
meta-llama/Llama-3.1-70B-Instruct,positive,Earth_Science,-4.729066860240578,-7.14437145602359,-2.3137622644575653
meta-llama/Llama-3.1-70B-Instruct,positive,Economics,76.70579457554439,62.916266481455104,90.49532266963367
meta-llama/Llama-3.1-70B-Instruct,positive,Electrical_Engineering,8.87306106593314,5.645107424469696,12.101014707396583
